file	cluster
340509688.utf8.txt	6
448611986.utf8.txt	4
353900869.utf8.txt	6
450408487.utf8.txt	6
440186920.utf8.txt	1
383979047.utf8.txt	6
431085568.utf8.txt	4
sonespases_863011734.txt	2
342108428.utf8.txt	6
334986097.utf8.txt	1
366763023.utf8.txt	7
355514233.utf8.txt	4
453574411.utf8.txt	5
345469014.utf8.txt	4
389125751.utf8.txt	7
323964473.utf8.txt	4
414100700.utf8.txt	7
422856562.utf8.txt	4
403189302.utf8.txt	7
342027504.utf8.txt	6
381482478.utf8.txt	5
388387412.utf8.txt	4
sonespases_943309925.txt	2
381852525.utf8.txt	7
sonespases_954751407.txt	2
sonespases_834743784.txt	2
393650379.utf8.txt	4
345133159.utf8.txt	4
342552495.utf8.txt	4
438681907.utf8.txt	0
351762824.utf8.txt	3
450316005.utf8.txt	6
sonespases_947736909.txt	2
368818617.utf8.txt	1
424852481.utf8.txt	4
384467163.utf8.txt	6
437811405.utf8.txt	6
sonespases_935248999.txt	2
428188576.utf8.txt	6
sonespases_899781950.txt	2
357388974.utf8.txt	6
422856949.utf8.txt	4
sonespases_860804528.txt	2
354025003.utf8.txt	4
sonespases_925984487.txt	2
447155518.utf8.txt	4
356617240.utf8.txt	5
430860024.utf8.txt	4
sonespases_921316984.txt	2
331972605.utf8.txt	1
sonespases_907542415.txt	2
397903062.utf8.txt	4
340103004.utf8.txt	3
401360127.utf8.txt	6
364173663.utf8.txt	3
447254773.utf8.txt	4
sonespases_943843055.txt	2
sonespases_854744801.txt	2
sonespases_983164879.txt	2
331222469.utf8.txt	4
324861082.utf8.txt	4
423692186.utf8.txt	4
369416597.utf8.txt	6
sonespases_919835946.txt	2
357014821.utf8.txt	3
sonespases_986175964.txt	2
453444276.utf8.txt	7
399354323.utf8.txt	5
324877439.utf8.txt	6
376818435.utf8.txt	4
396172459.utf8.txt	5
343940486.utf8.txt	4
349393762.utf8.txt	3
383141869.utf8.txt	3
sonespases_966435940.txt	2
324104678.utf8.txt	4
399212538.utf8.txt	4
355122661.utf8.txt	4
sonespases_932295417.txt	2
399303159.utf8.txt	6
358868770.utf8.txt	4
361537737.utf8.txt	6
357060359.utf8.txt	4
sonespases_960769908.txt	2
330419666.utf8.txt	4
324236826.utf8.txt	1
393610788.utf8.txt	4
449986308.utf8.txt	5
398386255.utf8.txt	7
399160895.utf8.txt	4
sonespases_983076285.txt	2
455412988.utf8.txt	4
411983708.utf8.txt	6
sonespases_861309647.txt	2
444071164.utf8.txt	6
322568784.utf8.txt	6
sonespases_829977008.txt	2
418147598.utf8.txt	6
355516865.utf8.txt	6
sonespases_856592517.txt	2
356381882.utf8.txt	3
345059285.utf8.txt	6
363823291.utf8.txt	6
393466412.utf8.txt	7
398359559.utf8.txt	6
sonespases_908979141.txt	2
346318535.utf8.txt	6
sonespases_891026773.txt	2
435790439.utf8.txt	4
351751556.utf8.txt	1
382102547.utf8.txt	4
sonespases_840702398.txt	2
432086115.utf8.txt	0
432062870.utf8.txt	0
323657597.utf8.txt	4
454573776.utf8.txt	1
364062831.utf8.txt	6
330675989.utf8.txt	4
sonespases_971908865.txt	2
330428225.utf8.txt	6
sonespases_978663529.txt	2
453663492.utf8.txt	1
383185296.utf8.txt	3
340410879.utf8.txt	5
355145690.utf8.txt	6
321459759.utf8.txt	1
sonespases_894965766.txt	2
sonespases_870212591.txt	2
399592352.utf8.txt	3
sonespases_874245985.txt	2
sonespases_850305664.txt	2
sonespases_936297753.txt	2
358467675.utf8.txt	3
sonespases_930382520.txt	2
sonespases_829938549.txt	2
361494060.utf8.txt	4
430629527.utf8.txt	6
426161661.utf8.txt	4
382771745.utf8.txt	7
421262702.utf8.txt	6
sonespases_836113724.txt	2
348480071.utf8.txt	1
389042094.utf8.txt	5
324393531.utf8.txt	6
336564728.utf8.txt	6
362877345.utf8.txt	3
393806062.utf8.txt	7
399212588.utf8.txt	4
sonespases_914113814.txt	2
397270848.utf8.txt	4
357073852.utf8.txt	4
356756615.utf8.txt	6
447207105.utf8.txt	4
sonespases_880182900.txt	2
sonespases_861390363.txt	2
sonespases_875900572.txt	2
453587772.utf8.txt	4
406647399.utf8.txt	7
380801576.utf8.txt	7
343953549.utf8.txt	1
336878083.utf8.txt	6
348771503.utf8.txt	6
449492446.utf8.txt	4
389703608.utf8.txt	4
sonespases_829981494.txt	2
378870196.utf8.txt	6
437617476.utf8.txt	3
343942346.utf8.txt	6
451684697.utf8.txt	7
sonespases_884048495.txt	2
396355542.utf8.txt	6
388517627.utf8.txt	5
340531324.utf8.txt	6
342108115.utf8.txt	6
399525669.utf8.txt	5
442941933.utf8.txt	0
sonespases_969967029.txt	2
437698324.utf8.txt	5
364367864.utf8.txt	4
350967577.utf8.txt	4
450672318.utf8.txt	3
358847217.utf8.txt	7
343872682.utf8.txt	6
424289095.utf8.txt	4
449341770.utf8.txt	3
418136754.utf8.txt	4
431342705.utf8.txt	3
328934373.utf8.txt	4
342016403.utf8.txt	7
338685700.utf8.txt	6
398390976.utf8.txt	3
sonespases_837284878.txt	2
454350643.utf8.txt	6
367115933.utf8.txt	6
sonespases_845574627.txt	2
sonespases_970806086.txt	2
452618048.utf8.txt	0
399726278.utf8.txt	7
324559615.utf8.txt	6
454323034.utf8.txt	4
sonespases_927858719.txt	2
382666370.utf8.txt	6
sonespases_851478702.txt	2
453878553.utf8.txt	4
sonespases_873686119.txt	2
358663379.utf8.txt	6
sonespases_875987309.txt	2
348430637.utf8.txt	4
357458148.utf8.txt	1
sonespases_911996198.txt	2
428491960.utf8.txt	4
428267912.utf8.txt	4
347173973.utf8.txt	3
447667846.utf8.txt	6
426206587.utf8.txt	4
388559448.utf8.txt	5
380907536.utf8.txt	5
328137517.utf8.txt	3
sonespases_932604821.txt	2
355754970.utf8.txt	7
434167925.utf8.txt	4
sonespases_913415702.txt	2
431117748.utf8.txt	1
382699417.utf8.txt	1
sonespases_879967971.txt	2
416259283.utf8.txt	4
337187954.utf8.txt	3
377111874.utf8.txt	5
339323880.utf8.txt	6
388838400.utf8.txt	4
430891231.utf8.txt	6
417936940.utf8.txt	3
450217930.utf8.txt	3
sonespases_979794575.txt	2
sonespases_887676479.txt	2
351115241.utf8.txt	6
431085500.utf8.txt	4
sonespases_922753671.txt	2
sonespases_903975635.txt	2
sonespases_956519414.txt	2
388620583.utf8.txt	3
334327598.utf8.txt	0
430039034.utf8.txt	4
395190664.utf8.txt	4
sonespases_870110758.txt	2
356405670.utf8.txt	4
364986169.utf8.txt	5
351024411.utf8.txt	6
sonespases_882454709.txt	2
sonespases_844478954.txt	2
358825308.utf8.txt	6
394066922.utf8.txt	4
393384387.utf8.txt	5
355104628.utf8.txt	4
330951751.utf8.txt	5
330847756.utf8.txt	6
437240129.utf8.txt	6
424732498.utf8.txt	4
333297299.utf8.txt	6
sonespases_859659630.txt	2
374273895.utf8.txt	3
354307275.utf8.txt	4
sonespases_898718086.txt	2
sonespases_881388659.txt	2
351403540.utf8.txt	0
